## 置顶词与自定义词组在这个文件里指定
## 格式：文本-输入码-权重，其间用 Tab 符分隔。
## 如要添加新的，可以复制已有的行，然后在其基础上修改。
## 置顶字词
的	u	10359470
一	f	4346343
是	o	3240478
不	c	3217018
了	r	3211043
在	n	2565479
我	t	2302420
人	j	2289348
他	je	2260948
这	vu	2256430
有	nv	2176533
个	jg	1485568
大	m	1442576
上	yf	1392471
中	d	1344335
来	a	1313926
地	ge	1282763
和	x	1215893
说	s	1214559
为	i	1195466
们	ja	1176988
到	y	1172915
你	jx	1150732
就	g	1135253
也	e	1093918
以	vj	1049205
国	rn	1031394
国	rni	1031394
那	au	993806
要	v	991671
时	ok	989051
出	sm	986068
着	gq	967929
可	z	952249
道	h	911043
之	ri	907523
对	rk	892639
会	jb	857846
自	oi	849269
而	l	824737
得	w	796166
下	fy	795219
能	k	781343
过	ku	748981
生	ls	747328
子	hi	689849
于	fn	688951
年	ev	688481
后	xf	682764
发	sr	674666
发	sri	674666
都	q	651479
里	dl	650836
没	kr	648348
还	cu	647762
所	mt	645076
去	gk	644970
看	uq	641753
事	fd	620787
如	b	613530
用	ty	607554
小	yx	594760
作	jw	592885
多	ll	589103
行	p	586170
只	dh	576694
好	bh	575316
成	na	575315
家	wj	573151
天	fm	568775
她	be	568271
方	lf	561645
然	vm	551922
然	vmc	551922
当	yb	551255
心	hx	546749
起	pv	542671
种	xd	536414
种	xdg	536414
想	eqh	525219
经	ir	520373
现	ne	515145
但	jo	512313
法	kg	509712
法	kgk	509712
无	du	506335
同	mf	504814
同	mfd	504814
么	tk	498100
进	qu	496259
学	kw	495306
面	bm	486460
其	zh	486240
前	hv	484515
已	vi	474152
主	in	473459
从	jj	472039
动	bs	468252
分	hp	467535
把	umb	464490
开	fl	462277
军	wyc	458790
又	ry	451967
两	ml	451455
本	ef	448742
因	rm	447221
定	wt	445631
部	id	442129
部	idt	442129
与	fa	438890
将	alk	424864
日	or	424541
长	pc	420864
理	ndl	420611
三	ts	419978
些	svm	419321
实	ww	416568
实	wwm	416568
样	egy	413528
十	ns	411320
意	xh	408407
知	od	406473
此	sv	398839
第	rt	396839
力	sl	393757
很	wi	391231
正	fsi	390360
高	gg	386688
手	us	384501
什	jns	384020
身	zs	382810
被	tr	382478
它	wv	380681
明	ov	377649
老	ql	377144
者	qo	374684
公	hk	373879
见	ej	372922
机	eo	371835
向	tm	371554
问	adk	369839
最	oq	369686
最	oqr	369686
使	jf	365020
使	jfd	365020
全	jn	363964
点	yd	361897
点	ydc	361897
情	ha	358490
外	lyb	352329
民	dm	351658
并	hl	350184
战	ydp	346981
关	hmd	345898
工	ug	345418
回	rd	343880
等	rg	341914
等	rgk	341914
相	eqm	339143
二	me	338300
重	ldl	334705
由	dy	331104
头	wm	329661
声	gc	325456
性	hls	324989
应	xk	323112
应	xkf	323112
间	ao	315107
话	sa	313334
文	vw	310548
给	ij	305654
给	ijd	305654
美	gm	304782
业	cy	300091
物	qne	295512
真	nq	293327
体	jef	291123
或	pdf	290281
政	fsh	290080
几	oj	289446
内	mj	288066
利	xp	286441
打	ua	284602
走	pz	284217
新	ie	283608
新	iet	283608
位	ji	282144
西	vx	280027
再	fmg	275895
产	ixc	274190
加	sd	273328
月	vy	272598
却	gkz	267970
先	qp	266487
制	qrp	266010
特	qg	265991
特	qgk	265991
果	qem	264211
东	ryx	264111
神	fog	263288
儿	pe	263280
才	nt	263134
门	am	262849
太	mi	260993
合	jdk	259340
信	js	258479
表	ati	258410
原	xu	257529
女	bn	257478
更	fo	255713
更	fob	255713
己	vjj	255192
名	ld	255056
立	il	252826
比	vv	250599
代	jp	249263
四	ys	249044
斯	zht	248281
任	jt	247828
次	we	246626
世	la	244602
便	jfo	243219
听	dtj	243193
提	uo	242654
提	uot	242654
做	jc	242305
海	kek	241433
水	ks	240065
教	qhh	239733
眼	qi	239148
化	jvb	237557
通	kt	237406
通	ktu	237406
感	nf	236965
王	nw	236377
各	sg	235380
口	dk	235245
气	vq	233189
别	ds	232182
别	dsp	232182
少	yt	230382
处	hy	229982
平	eh	228467
常	srj	228172
解	xt	228122
